id_doc,type_of_document,states,sub_domain,domain,regulation_tariff,title,order_date,notification_date,comment_date,comments_given_on
161,TR-TUP,ML,TD,Tariff,TRF,"MSERC Tariff order for (MePDCL), ARR for (FY 22 to FY 24), Retail Supply Tariff (FY 22)",25/03/2021,0000-00-00,0000-00-00,0000-00-00
162,AMN,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) (4th Amd) Order, 2019",23/10/2019,0000-00-00,0000-00-00,0000-00-00
163,AMN,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) (5th Amd) Order, 2019",30/12/2019,0000-00-00,0000-00-00,0000-00-00
164,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (SSCTPS (Units 7&8)) ARR & Tariff (FY 20 & FY 21)), 2021",03/02/2021,0000-00-00,0000-00-00,0000-00-00
165,GZT-FIN,UK,TD,Tariff,TRF,"UERC Tariff Order for (UPCL) True-up (FY 19), APR (FY 20), ARR (FY 21)",18/04/2020,0000-00-00,0000-00-00,0000-00-00
166,GZT-FIN,UK,"TD,TR","Transmission, Tariff",TRF,"UERC Tariff Order for (PTCUL) True-up (FY 19), APR (FY 20), ARR (FY 21)",18/04/2020,0000-00-00,0000-00-00,0000-00-00
167,TR-TUP,ML,TD,Tariff,TRF,MSERC Tariff Order for (MePGCL) ARR & Generation Tariff (FY 21),25/03/2020,0000-00-00,0000-00-00,0000-00-00
168,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (RRVPNL) True-up (FY 18), ARR & Tariff (FY 20)",31/01/2020,0000-00-00,0000-00-00,0000-00-00
169,TR-TUP,GJ,"SLDC,TD","Transmission, Tariff",TRF,"GERC Tariff Order for (SLDC) True-up (FY 19), SLDC Charges & Fees (FY 21)",31/03/2020,0000-00-00,0000-00-00,0000-00-00
170,GZT-FIN,UK,"SLDC,TD","Transmission, Tariff",TRF,"UERC Tariff Order for (SLDC) APR (FY 20), ARR (FY 21)",18/04/2020,0000-00-00,0000-00-00,0000-00-00
171,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (RRVPNL) True-up (FY 19), ARR & Tariff (FY 21)",12/10/2020,0000-00-00,0000-00-00,0000-00-00
172,AMN,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) (6th Amd) Order, 2021",15/04/2021,0000-00-00,0000-00-00,0000-00-00
173,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (RRVPNL) True-up (FY 20), ARR & Tariff (FY 22)), 2021",23/12/2021,0000-00-00,0000-00-00,0000-00-00
174,TR-TUP,ML,TD,Tariff,TRF,MSERC Tariff Order for (MePTCL) ARR & Transmission Tariff (FY 21),25/03/2020,0000-00-00,0000-00-00,0000-00-00
175,GZT-FIN,UK,"GN,TD","Generation, Tariff",TRF,"UERC Tariff Order for (UJVNL) True-up (FY 19), APR (FY 20), ARR (FY 21)",18/04/2020,0000-00-00,0000-00-00,0000-00-00
176,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (JVVNL, JdVVNL, AVVNL) True-up (FY 20)), 2021",07/08/2021,0000-00-00,0000-00-00,0000-00-00
177,TR-TUP,ML,TD,Tariff,TRF,MSERC Tariff Order for (MePDCL) ARR & Retail Tariff (FY 21),25/03/2020,0000-00-00,0000-00-00,0000-00-00
178,TR-TUP, GJ ,"DR,TD","Distribution,","TRF,ORD","GERC Tariff Order for (TPL Ahmedabad) True-up (FY 19), Tariff (FY 21)",31/03/2020,0000-00-00,0000-00-00,0000-00-00
179,TR-TUP,ML,TD,Tariff,TRF,MSERC True-Up for (MePDCL) (FY 18),13/10/2020,0000-00-00,0000-00-00,0000-00-00
180,TR-TUP,GJ,"DR,TD","Distribution, Tariff","TRF,ORD","GERC Tariff Order for (TPL Ahmedabad) True-up (FY 19), Tariff (FY 21)",31/03/2020,0000-00-00,0000-00-00,0000-00-00
182,TR-TUP,ML,TD,Tariff,TRF,MSERC True-Up for (MePGCL) (FY 18),28/09/2020,0000-00-00,0000-00-00,0000-00-00
183,TR-TUP,DL,TD,Tariff,TRF,"DERC Tariff Order for (BRPL) True-up (FY 18), ARR & Tariff (FY 20)",31/07/2019,0000-00-00,0000-00-00,0000-00-00
185,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (KaTPP (Units 1 and 2)) APR (FY 15 to FY 20), ARR & Tariff (FY 22)), 2021",04/10/2021,0000-00-00,0000-00-00,0000-00-00
186,TR-TUP,DL,"DR,TD","Distribution, Tariff",TRF,"DERC Tariff Order for (BRPL) True-up (FY 17), Tariff (FY 19)",28/02/2018,0000-00-00,0000-00-00,0000-00-00
